入住	46394.16775280172
实惠	5764.375211176253
星级	4631.382779193934
不错	3596.2394985401806
五星级	3499.3446136921607
酒店	3216.437139831887
四星级	2941.4226191956955
周到	2814.5013996356897
in	2415.269342601244
设施	2113.2858899095504
陈旧	2039.9350373965256
预定	2026.1520666392873
点评	1941.4783528439712
优惠	1912.640491994213
房	1887.7066599133782
三星级	1613.2153249707019
整洁	1542.520676179533
宾客	1533.6514961046616
气派	1483.6474969658989
地毯	1457.821577078617
客房	1425.4045091129476
豪华	1397.9092235853386
干净	1249.8029361818537
宽敞	1217.5966050683467
方便	1138.5324432159132
客人	1101.00751313853
服务	984.890469527246
海景	957.6677378768504
满意	836.2826197498263
锦江	832.2225991970138
总体	779.1784624579675
价位	658.1664995476245
这家	638.2606798944379
房费	592.6930808758998
汉庭	568.9165249989253
英才	561.1658691291334
临街	545.3705707052297
推荐	543.3059609233907
早餐	522.8567282875007
光临	521.1018014025705
服务员	483.2060675555587
热情	457.59041610950675
优点	456.2507017762707
价格	420.6819706183329
反馈	400.77774584200415
齐全	371.85759649698645
住店	353.6104131390096
五星	344.4281743089125
实在	299.39297057500085
the	283.4266178909715
隔音	-3838.369131500874
招待所	-2489.579759949726
前台	-1847.304346466985
最差	-1818.4831626376192
宾馆	-1569.6643452589012
楼层	-787.0705189509715
卫生间	-664.1390723301762
大堂	-593.272971240774
交涉	-513.809068930377
简陋	-507.218771209908
缺点	-492.2246016042798
大失所望	-468.8960834244102
黑店	-450.4959915524856
住	-425.97284851240454
不怎么样	-385.0918196929979
美中不足	-348.76957318168706
check	-337.6155467297029
退房	-298.8967014842711
投诉	-296.22457400748624
水龙头	-285.73533369319966
差劲	-274.5587750885603
押金	-262.5237819853435
马马虎虎	-258.3547231407332
差	-241.1666962949121
行李	-227.91937808969277
名不副实	-206.53700280674602
洗手间	-195.29667435900103
走廊	-182.23857052129492
房价	-172.51076481974437
热水	-154.848529878222
交通	-154.633154208379
噪音	-149.10505398319918
异味	-140.13392496120136
寒碜	-138.8634059957901
血迹	-136.7484330163452
不符	-133.50305869582377
吵	-125.84251700257498
脏	-125.6924354286712
打车	-119.55616975671154
剥落	-118.77151984331014
惨不忍睹	-115.12173848248445
狭小	-111.26615280925643
局促	-107.57187666304667
漏水	-106.12270835486757
遥控器	-103.13303212013497
电梯	-102.54696031120197
低档	-102.4140172750682
总机	-98.97610703531029
生硬	-97.84097412932707
宽带	-95.44005629061482
